target,planet,visit,det,bin,wave_lo_um,wave_hi_um,n_fits,sigma_cal_ppm,sigma_resid_ppm,bias_slope,dd_obs_ppm,cal_vs_boot,ul95_abs_dd_ppm
LHS-1140,LHS 1140 b,jw07073025001,nrs1,2,3.432857250441605,3.724732215510546,40,13.59780494831941,23.255851315847867,1.033491502364115,-21.921702657849707,0.4669138264496124,44.29009179783514
LHS-1140,LHS 1140 b,jw07073025001,nrs1,3,3.724732215510546,4.016607180579489,40,70.1174960685475,69.94794469330593,0.8833614476343614,-23.001774216239653,0.8961579193611023,138.34505524900027
LHS-1140,LHS 1140 b,jw07073025001,nrs1,4,4.016607180579489,4.30848214564843,40,77.94963690318791,71.56134894355975,0.8941978119074738,-76.94512097373811,1.3768304870087835,205.17227367948223
LHS-1140,LHS 1140 b,jw07073025001,nrs1,5,4.30848214564843,4.600357110717372,40,70.31226243739121,92.97092074001313,1.124135600874556,-67.82117697348276,0.6506955639298015,183.4848486829913
LHS-1140,LHS 1140 b,jw07073025001,nrs1,6,4.600357110717372,4.892232075786314,40,227.4891857154168,229.58345566153417,1.0665273837953275,29.037901556889025,1.268959969010511,403.25761205874966
LHS-1140,LHS 1140 b,jw07073025001,nrs1,7,4.892232075786314,5.184107040855255,40,178.67123340923374,234.78425647593835,0.9856173347116758,176.99960875859102,0.7853478645844575,470.9137877167805
LHS-1140,LHS 1140 b,jw07073026001,nrs1,0,2.8487104171071738,3.140864474469951,40,73.751019698711,59.673897975606415,0.993498378179362,-137.52923185315467,1.6490818373289169,258.84965925753426
LHS-1140,LHS 1140 b,jw07073026001,nrs1,1,3.140864474469951,3.4330185318327286,40,53.29029788113062,60.06791158808867,1.0492708417555154,-128.41206791848643,0.9436525588288918,216.0746079329463
LHS-1140,LHS 1140 b,jw07073026001,nrs1,2,3.4330185318327286,3.725172589195506,40,22.403814242405012,25.609248815357887,0.9950523314593204,-75.90950449907953,0.7153628874274397,112.76377892783577
LHS-1140,LHS 1140 b,jw07073026001,nrs1,3,3.725172589195506,4.017326646558283,40,44.123221004165934,66.37363719769984,1.066134099445415,-35.664613203661816,0.5367790580073096,108.24731175551477
LHS-1140,LHS 1140 b,jw07073026001,nrs1,4,4.017326646558283,4.309480703921061,40,49.68325941171068,47.43005703305606,1.0918616249629052,34.621506732814865,0.9380895480000359,116.35046846507893
LHS-1140,LHS 1140 b,jw07073026001,nrs1,5,4.309480703921061,4.601634761283838,40,116.84928553712264,110.77079850180677,0.902395213481,50.93502947764623,0.9841036444484574,243.15210418621297
LHS-1140,LHS 1140 b,jw07073026001,nrs1,6,4.601634761283838,4.893788818646616,40,88.29903816942009,96.5910144160257,1.0992373839805607,34.43679783878082,0.8010818254716775,179.68871562747685
