target,visit,det,bin,wave_lo_um,wave_hi_um,n_cols,n_ok,oot_scatter_ppm
LHS-1140,jw07073026001,nrs1,3,3.725172589195506,4.017326646558283,162,2496,737.9130549102792
LHS-1140,jw07073026001,nrs1,4,4.017326646558283,4.309480703921061,162,2496,843.8995218421788
LHS-1140,jw07073026001,nrs1,5,4.309480703921061,4.601634761283838,163,2496,1099.496674888405
LHS-1140,jw07073026001,nrs1,6,4.601634761283838,4.893788818646616,163,2496,1292.9600945691116
LHS-1140,jw07073026001,nrs1,7,4.893788818646616,5.185942876009393,163,2496,1464.20658553832
LHS-1140,jw07073032001,nrs1,0,2.849000433930459,3.1406995369993274,163,2054,620.0865003356726
LHS-1140,jw07073032001,nrs1,1,3.1406995369993274,3.432398640068196,162,2054,600.7874175420765
LHS-1140,jw07073032001,nrs1,2,3.432398640068196,3.7240977431370643,162,2054,680.210349532244
LHS-1140,jw07073032001,nrs1,3,3.7240977431370643,4.015796846205933,162,2054,723.0893806077127
LHS-1140,jw07073032001,nrs1,4,4.015796846205933,4.307495949274801,162,2054,858.6399059836714
LHS-1140,jw07073032001,nrs1,5,4.307495949274801,4.59919505234367,163,2054,1084.733451852515
LHS-1140,jw07073032001,nrs1,6,4.59919505234367,4.890894155412538,162,2054,1266.97165616985
LHS-1140,jw07073032001,nrs1,7,4.890894155412538,5.182593258481407,163,2054,1458.357420251416
LHS-1140,jw07073033001,nrs1,0,2.8489613947171466,3.1410678510751353,163,2054,699.2295474552757
LHS-1140,jw07073033001,nrs1,1,3.1410678510751353,3.4331743074331245,162,2054,651.3869656437697
LHS-1140,jw07073033001,nrs1,2,3.4331743074331245,3.725280763791113,163,2054,676.6914011502233
LHS-1140,jw07073033001,nrs1,3,3.725280763791113,4.017387220149102,162,2054,738.710705367308
LHS-1140,jw07073033001,nrs1,4,4.017387220149102,4.309493676507091,162,2054,854.4781998716425
LHS-1140,jw07073033001,nrs1,5,4.309493676507091,4.60160013286508,163,2054,1068.0727600678783
LHS-1140,jw07073033001,nrs1,6,4.60160013286508,4.8937065892230684,163,2054,1272.4707198491506
LHS-1140,jw07073033001,nrs1,7,4.8937065892230684,5.185813045581058,163,2054,1482.4889047171046
TOI-1685,jw03263001001,nrs1,0,2.8619297421425656,2.9692651864042228,159,4450,659.6474917816814
TOI-1685,jw03263001001,nrs1,1,2.9692651864042228,3.0766006306658804,158,4450,624.0137789032333
TOI-1685,jw03263001001,nrs1,2,3.0766006306658804,3.1839360749275376,158,4450,630.3937542077574
TOI-1685,jw03263001001,nrs1,3,3.1839360749275376,3.291271519189195,159,4450,624.5661817169416
TOI-1685,jw03263001001,nrs1,4,3.291271519189195,3.3986069634508524,159,4450,602.2655699489592
TOI-1685,jw03263001001,nrs1,5,3.3986069634508524,3.5059424077125096,159,4450,608.9364054117246
TOI-1685,jw03263001001,nrs1,6,3.5059424077125096,3.613277851974167,159,4450,574.1871495414846
TOI-1685,jw03263001001,nrs1,7,3.613277851974167,3.7206132962358245,160,4450,531.236763882888
TOI-1685,jw03263001001,nrs2,0,3.819562640797222,3.9892852956206752,254,4450,546.9967420050093
TOI-1685,jw03263001001,nrs2,1,3.9892852956206752,4.159007950444128,253,4450,687.1385688998103
TOI-1685,jw03263001001,nrs2,2,4.159007950444128,4.328730605267581,255,4450,817.8279964744337
TOI-1685,jw03263001001,nrs2,3,4.328730605267581,4.4984532600910345,255,4450,1027.4119759642813
TOI-1685,jw03263001001,nrs2,4,4.4984532600910345,4.668175914914488,256,4450,1093.593125474529
TOI-1685,jw03263001001,nrs2,5,4.668175914914488,4.837898569737941,257,4449,1671.5741606386644
